target,run_id,direction,model,year,n,accuracy,auc,hit@60,cov@60
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2021,249,0.5983935742971888,0.6238964992389651,0.6,0.321285140562249
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2022,247,0.805668016194332,0.6171806167400882,0.903448275862069,0.5870445344129555
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2023,246,0.5365853658536586,0.46165048543689324,0.5806451612903226,0.3780487804878049
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2024,245,0.30612244897959184,0.28621621621621623,0.0782608695652174,0.46938775510204084
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2025,243,0.30864197530864196,0.46465517241379306,0.24,0.720164609053498
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2026,86,0.4069767441860465,,0.22580645161290322,0.36046511627906974
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2018,245,0.7510204081632653,0.42612612612612616,0.759090909090909,0.8979591836734694
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2019,247,0.7692307692307693,0.6676142131979695,0.7741935483870968,0.8785425101214575
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2020,249,0.9196787148594378,0.5377729257641921,0.9282511210762332,0.8955823293172691
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2021,249,0.8755020080321285,0.7628614916286149,0.9029126213592233,0.8273092369477911
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2022,247,0.9190283400809717,0.6894273127753304,0.9186991869918699,0.9959514170040485
ktb_3y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2023,246,0.8048780487804879,0.46820388349514563,0.8380952380952381,0.8536585365853658
